"Name"
"Kuzmanovic, Veselin"
"Kuzmic, Alen"
"Kuzmic, Jan"
"Laban, David"
"Laci, Ziga"
"Ladic, David"
"Ladinek, Damjan"
"Lah, Branko"
"Lah, Klemen"
"Lah, Kristjan"
"Lah, Mihael"
"Lah, Rok"
"Lah, Tim"
"Lampret, Jernej"
"Lapuh, Gaber"
"Lapuh, Urh"
"Lasica, Mile"
"Lazar, Kris"
"Lazarevic, Dejan"
"Lazarevic, Djosa"
"Lazicic, Dragan"
"Lebar, Tadej"
"Lenart, Matej"
"Lenic, Jan"
"Lenosek, Martin"
"Lenosek, Matevz"
"Lepoglavec, Florijan"
"Lesar, Lenart"
"Lesjak, Sebastian"
"Leskovar, Aljaz"
"Leskovar, Matic"
"Leskovar, Peter"
"Leskovar, Zeljko"
"Leskovsek, David"
"Lesnik, Ladislav"
"Lesnik, Rok"
"Lesnik, Rok"
"Lesnik, Tilen"
"Letonja, Rok"
"Leustek, Leon"
"Levacic, Sasa"
"Levec, Nejc"
"Levicar, Primoz"
"Lidjan, Denis"
"Likar, Uros"
"Likavec, Vito"
"Likozar, Iztok"
"Lipicar, Jure"
"Lipoglav, Nejc"
"Lipovec, Ziga"
"Lipuscek, Ziga"
"Lipuzic Bratuz, Jaka"
"Litrop, Tim"
"Lizalovic, Adis"
"Lizalovic, Alen"
"Ljubanic, Dragan"
"Ljubec, Nik"
"Ljubijankic, Emir"
"Ljubijankic, Uros"
"Loboda, Jure"
"Logar, Urban"
"Lojen, Filip"
"Lokar, Klaudio"
"Loncar, Nejc"
"Loncaric, Tim"
"Lorbek, Nik"
"Lorber, Timotej"
"Lorinc, Marko"
"Lotric, Andrej"
"Lotric, Mitja"
"Lovenjak, Blaz"
"Lovenjak, Luka"
"Lovrec, Dario"
"Lovrec, Michael"
"Lovric, Den"
"Lovric, Igor"
"Lovric, Kristijan"
"Lovric, Sandi"
"Lubej, Ziga"
"Lukac, Andrej"
"Lukac, Borut"
"Lukanc, David"
"Lukic, Saso"
"Lutar, Erik"
"Luzar, Jakob"
"Macek, Anzej"
"Mackovsek, Uros"
"Magdic, Lukas"
"Magdic, Mitja"
"Maher, Rok"
"Mahic, Dino"
"Majcen, Luka"
"Majer, Matic"
"Majer, Zan"
"Malnar, Anze"
"Malnar, Luka"
"Malnar, Uros"
"Mandic, Aleksandar"
"Mandic, Vladimir"
"Marc, Gregor"
"Marceta, Danijel"
"Marcic, Tilen"
"Marcius, Matic"
"Marcos Tavares"
"Marhold, Zan"
"Maric, Milidrag"
"Marijan, Damir"
"Marinic, Dusan"
"Marinic, Leon"
"Marinic, Matic"
"Marinic, Rok"
"Marinkovic, Bojan"
"Marinovic, Sinisa"
"Marinsek, Grega"
"Marinsek, Nik"
"Marinsek, Zan"
"Marjanovic, Aljosa"
"Marjanovic, Darko"
"Markic, Luka"
"Markic, Luka"
"Markisic, Elvis"
"Markovic, Marko"
"Maroh, Dominic"
"Marosa, Amadej"
"Martinovic, Dino"
"Martinovic, Ivan"
"Martinovic, Nino"
"Marusko, Matic"
"Marusko, Rok"
"Maslic, Aleksander"
"Masten, Nik"
"Matavz, Tim"
"Mate, Timotej"
"Matic, Renato"
"Matic, Robert"
"Matic, Tim"
"Matjasec, Bojan"
"Matjasic, Jure"
"Matko, Aljosa"
"Matko, Nejc"
"Matosevic, Kristjan"
"Matosevic, Patrik"
"Maucec, Marko"
"Mauko, Mitja"
"Mavretic, Til"
"Mavric, Matej"
"Medic, Kenan"
"Medved, Rok"
"Medved, Zan"
"Mejac, Luka"
"Merhar, Nejc"
"Mertelj, Ales"
"Mesarec, Dejan"
"Mesaric, Jakob"
"Mesaric, Luka"
"Mevlja, Miha"
"Mevlja, Nejc"
"Mezga, Dejan"
"Meznaric, Peter"
"Meznaric, Silvo"
"Mihailovic, Nik"
"Mihelic, Rene"
"Milec, Martin"
"Milek, Leon"
"Milic, Dejan"
"Milic, Dorin"
"Milic, Teo"
"Mirkac, Matej"
"Mirt, Mihael"
"Mirtic, Matic"
"Misetic, Zan"
"Misic, Dejan"
"Mitrovic, Nemanja"
"Mittendorfer, Maj"
"Mlakar, David"
"Mlakar, Goran"
"Mlakar, Jan"
"Mlakar, Matej"
"Mlakar, Matic"
"Mlakar, Sandi"
"Mlakar, Tilen"
"Mlinaric, Andrej"
"Mlinaric, Luka"
"Mlinaric, Marko"
"Mlinaric, Primoz"
"Mocic, Aleksander"
"Mocic, Damir"
"Mocic, Primoz"
"Mocic, Stefan"
"Modrijan, Zan"
"Mohorko, Rok"
"Mohorko, Zan"
"Morec, Vito"
"Mori, Joshua"
"Motaln, Marko"
"Mraz, Denis"
"Mrezar, Anej"
"Mrkonja, Andraz"
"Muhovic, Elsad"
"Mujdrica, Nejc"
"Mujkanovic, Jasim"
"Mulec, Matic"
"Murat, Matej"
"Murko, Peter"
"Murko, Rok"
"Murko, Tomaz"
"Music, Ales"
"Music, Nik"
"Nagode, Tilen"
"Napotnik, Zan"
"Nemanic, Klemen"
"Nemec, Dejan"
"Nemec, Luka"
"Nemec, Tilen"
"Nesic, Marko"
"Neskic, Alen"
"Nezmah, Bostjan"
"Nikolic, Zan"
"Novak, Franci"
"Novak, Goran"
"Novak, Gregor"
"Novak, Jakob"
"Novak, Jan"
"Novak, Miha"
"Novinic, Mitja"
"Novosel, Andrija"
"Nuhanovic, Eni"
"Nuhanovic, Sandi"
"Nukic, Mustafa"
"Nunic, Marko"
"Oblak, Ales"
"Oblak, Jan"
"Oblak, Klemen"
"Oblak, Kristjan"
"Oblak, Luka"
"Oblak, Sasa"
"Oblak, Zeljko"
"Obrez, Tim"
"Obrstar, Robi"
"Obrstar, Vid"
"Obu, Jure"
"Ogric, Saso"
"Ogrinec, Sandi"
"Oman, Tim"
"Omercevic, Denis"
"Omerovic, Anel"
"Omerovic, Semin"
"Omladic, Nik"
"Opara, Ziga"
"Oparenovic, Levin"
"Orovic, Jernej"
"Osmanaj, Liridon"
"Osredkar, Zan"
"Osterc, Robert"
"Ostrosko, Jozi"
"Ovcar, Gregor"
"Ovcjak, Ziga"
"Ovsenek, Ziga"
