"Name"
"Benediktsson, Magnus Otti"
"Benediktsson, Trausti Mar"
"Benediktsson, Viktor Helgi"
"Benonysson, Sigur?ur Gretar"
"Bergmann, Oliver"
"Bergs, Hreinn"
"Bergsson, Bragi"
"Bergsson, Da?i"
"Bergsson, Gretar Aki"
"Bernhar?sson, ?orsteinn Orn"
"Bernhoft, Petur Mar"
"Bieltvedt, Oli Anton"
"Bilali, Denis"
"Birgisson, Andri Steinn"
"Birgisson, Birgir Magnus"
"Birgisson, Davi?"
"Birgisson, Ey?or Helgi"
"Birgisson, Gunnar"
"Birgisson, Gunnar Oddgeir"
"Birgisson, Gunnlaugur Hlynur"
"Birgisson, Marino Sn?r"
"Birgisson, Sveinn Oli"
"Birnuson, Aron Dagur"
"Bjarkason, Bjarki Steinn"
"Bjarkason, Daniel ?or"
"Bjarmason, Daniel Dagur"
"Bjarmason, Julius Orri"
"Bjarnason, Alexander Ivan"
"Bjarnason, Andri Runar"
"Bjarnason, Aron"
"Bjarnason, Asgrimur ?or"
"Bjarnason, Benedikt Okto"
"Bjarnason, Birkir"
"Bjarnason, Breki"
"Bjarnason, Brynjar Ingi"
"Bjarnason, Brynjar Oli"
"Bjarnason, Brynjar Orri"
"Bjarnason, Davi? Runar"
"Bjarnason, Elmar"
"Bjarnason, Ernir"
"Bjarnason, Fannar"
"Bjarnason, Georg"
"Bjarnason, Gu?jon"
"Bjarnason, Hlynur"
"Bjarnason, Magnus Petur"
"Bjarnason, Oddur Ingi"
"Bjarnason, Oli Baldur"
"Bjarnason, Petur"
"Bjarnason, Sigurbergur"
"Bjarnason, ?orsteinn"
"Bjartmarsson, Kristinn Jens"
"Bjart?orsson, Hilmar Freyr"
"Bjorgolfsson, Eythor"
"Bjorgolfsson, Solmundur Aron"
"Bjorgvinsson, Arnar Mar"
"Bjorgvinsson, Hor?ur Fannar"
"Bjorgvinsson, Ing?or"
"Bjorgvinsson, Magnus"
"Bjorgvinsson, Reynir"
"Bjornsson, Agust Leo"
"Bjornsson, Andri Freyr"
"Bjornsson, Arni ?or"
"Bjornsson, Arnor"
"Bjornsson, Birkir"
"Bjornsson, Brynjar Mar"
"Bjornsson, Elis Rafn"
"Bjornsson, Halldor Orri"
"Bjornsson, Haraldur"
"Bjornsson, Haukur"
"Bjornsson, Hermann Agust"
"Bjornsson, Hilmar"
"Bjornsson, Karl Brynjar"
"Bjornsson, Kristinn ?or"
"Bjornsson, Larus"
"Bjornsson, Marteinn Gauti"
"Bjornsson, Matthias"
"Bjornsson, Nikulas Ingi"
"Bjornsson, Oddur"
"Bjornsson, Reynir Mar"
"Bjornsson, Sigur?ur Hrannar"
"Bjornsson, Sindri"
"Bjornsson, Solvi"
"Bjornsson, Stefan Ari"
"Bjornsson, Trausti Rafn"
"Bl?ngsson, Jokull"
"Blondal, Snorri Pall"
"Bodvarsson, Bodvar"
"Bo?varsson, Jon Da?i"
"Bragason, Brynjar Atli"
"Brandsson, Gu?laugur ?or"
"Brei?dal, Benedikt Oli"
"Briem, Hafsteinn"
"Briem, Marteinn"
"Bryde, Bjorn Berg"
"Brynjarsson, Aron Mar"
"Brynjarsson, Aron Skuli"
"Brynjarsson, Fjolnir"
"Brynjarsson, Freyr"
"Brynjarsson, Haukur"
"Brynjarsson, Viktor Bergmann"
"Brynjolfsson, Arnor Gauti"
"Brynjolfsson, Frosti"
"Buason, Patrekur Hafli?i"
"Burknason, Andres Uggi"
"Catano, Cristian"
"Dagbjartsson, Magnus Sn?r"
"Danielsson, Aron"
"Danielsson, Bjarki Mar"
"Danielsson, Helgi Valur"
"Danielsson, Rafal Stefan"
"Davorsson, Alexander Aron"
"Diegui"
"Dimitrijevic, Vuk Oskar"
"Djuric, Nikola"
"Dokara, Emir"
"Drungilas, Domantas"
"Edvardsson, Edvard Dagur"
"Eggertsson, Daniel"
"Eggertsson, Jakob"
"Eggertsson, Kristofer"
"Eggertsson, Kristofer James"
"Eggertsson, Orvar"
"Eggertsson, Stefan Johann"
"Egilsson, ?ormo?ur"
"Ei?sson, Enok"
"Einarsson, Anton Ari"
"Einarsson, Arnaldur Karl"
"Einarsson, Axel ?or"
"Einarsson, Bjarni Runar"
"Einarsson, Breki"
"Einarsson, Einar Logi"
"Einarsson, Einar Orri"
"Einarsson, Elvar Oli"
"Einarsson, Hakon Ingi"
"Einarsson, Hrannar"
"Einarsson, Isak Orn"
"Einarsson, Jon"
"Einarsson, Kolbeinn"
"Einarsson, Kristofer"
"Einarsson, Magnus Ingi"
"Einarsson, Olafur Atli"
"Einarsson, Pall Sindri"
"Einarsson, Petur"
"Einarsson, Sigvaldi"
"Einarsson, Stefan"
