"Name"
"Fosse, Magnus"
"Fosse, Trygve"
"Fosser, Antonio"
"Fossli, Andreas"
"Fossmo, Andreas"
"Fossum, Iver"
"Frankmo, Mikkel"
"Frantzen, William"
"Fredheim Holm, Daniel"
"Fredriksen, Didrik"
"Fredriksen, Erling"
"Fredriksen, Gabriel"
"Fredriksen, Jonas"
"Fredriksen, Jonas"
"Fredriksen, Mathias"
"Fredriksen, Sebastian"
"Fredriksen, Ulrik"
"Freihow, Oyvind"
"Fremming, Hakon"
"Fretland, Olav"
"Fridtjofsen, Marius"
"Fritzoe Ostman, Adrian"
"Frivold, Andreas"
"Frobenius, Thomas"
"Frohaug Willumsen, Eivind"
"Froland, Stig"
"Froner, Jonas"
"Froysa, Brede"
"Fuglar, Joakim"
"Fuhre, Lars"
"Furdal, Johnny"
"Fure-Resell, Torstein"
"Furuseth Andersen, Fredrik"
"Furuseth, Joakim"
"Fuseini, Amos"
"Fylkesnes, Johannes"
"Fylling, Daniel"
"Fylling, Jorgen"
"Gabrielsen, Roar"
"Gabrielsen, Ruben"
"Galek, Bartosz"
"Gamachis, Dirirsa"
"Gamst Pedersen, Morten"
"Gamst, Tommy"
"Gangeskar, Isak"
"Gangeskar, Johnny"
"Garcia, Andre Emilio"
"Garfjell, Hugo"
"Garnas, Espen"
"Gashi, Albin"
"Gashi, Ardian"
"Gaup, Johan"
"Gauseth, Christian"
"Gaustad, Tommy"
"Gaye, Dadi Dodou"
"Geelmuyden, Herman"
"George Lewis"
"George, Tega"
"Gerkondani, Garib"
"Getz, Leonard"
"Ghaedamini, Keivan"
"Ghilom, Stefan"
"Gibson, George"
"Gikling Bruseth, Adne"
"Gilbertson, Dirirsa"
"Gilbertson, Thomas"
"Gill, Kristian"
"Gill, Thomas"
"Gillebo, Sindre"
"Gillemyr, Erlend"
"Giller, Espen"
"Gisvold, Fabian"
"Gjendem Nerland, Thomas"
"Gjerde, Joar"
"Gjermundstad, Vegard"
"Gjerstad, Hakon"
"Gjerstrom, Mathias"
"Gjertsen, Christoffer"
"Gjertsen, Torgil"
"Gjesdal, Henrik"
"Gjettermann, Kristoffer"
"Gjolstad, Oyvind"
"Gjora, Oyvind"
"Gjoroy, Eivind"
"Gjoslien, Christian"
"Gjosund, Arvid"
"Gjosund, Borge Severin"
"Gjovaag, Fredrik"
"Gjoysdal, Christoffer"
"Gleditsch, Benjamin"
"Glesnes, Jakob"
"Graberg, Oyvind"
"Gran, Tobias"
"Granang, Tobias"
"Granas, Sondre"
"Grande, Brage"
"Grande, Kenneth"
"Granli, Daniel"
"Granli, Espen"
"Granlund, Jesper"
"Granlund, Rune"
"Grann?s Olsen, Ronny"
"Grann?s Olsen, Tom Helge"
"Granrud, Bjarne"
"Gransbraten, Jorgen"
"Grasmo, Morten"
"Grelland, Sander"
"Grevskott, Edvin"
"Grevstad, Andre"
"Grewal, Kinny"
"Grieg, Jonas"
"Grimeland, Mads"
"Grimelid, Cato"
"Grimelid, Johannes"
"Grimelid, Sander"
"Grimsrud Noreng, Odin"
"Grimstad, Harald"
"Grindheim, Christian"
"Grodas, Victor"
"Grodem, Knut"
"Grodem, Magnus"
"Grodtlien, Johannes"
"Grogaard, Thomas"
"Gromholt, Nicolai"
"Gronaas, Tore"
"Gronas, Kim"
"Gronberg, Harald"
"Gronbrekk, Lars"
"Grondalen, Andre"
"Gronli Nordeide, Sander"
"Gronli, Sigurd"
"Gronner, Emanuel Longe"
"Gronner, Jonas"
"Gronning, Trond"
"Gronset, Johan"
"Gronvold, Bjornar"
"Grorud, Lars"
"Grosfjell, Andre"
"Grotmol, Tobias"
"Grotteland, Vidar"
"Groven, Alexander"
"Grue M?len, Are"
"Grunden, Lars"
"Grundetjern, Mathias"
"Grytdal, Marius"
"Grytdal, Sindre"
"Grytebust, Sten"
"Grythe, Fredrik"
"Grytten, Torbjorn"
"Gryttenholm, Magnus"
"Gudbrandsen, Nils Kristian"
"Gudbrandsen, Preben"
"Guddingsmo, Mats"
"Gu?jonsson, Arnar"
"Gueye, Mansour"
"Gulbrandsen, Erik"
"Gulbrandsen, Fredrik"
"Gulbrandsen, Jovi"
"Gulbrandsen, Mikkel"
"Gulden, Henrik"
"Guldseth, Kristian"
"Gule, Morten"
"Gullhaug Floholm, Magnus"
"Gulliksen, Johan"
"Gulliksen, Mathias"
"Gulljord, Pal"
"Gullteig, Daniel"
"Gundersen, Anders"
"Gundersen, Andreas"
"Gundersen, Arian"
