"Name"
"Eckart, Patrick"
"Edoh, Jospin"
"Eduardo"
"Efendic, Vedad"
"Eggenberger, Joshua"
"Eggenberger, Martin"
"Eggmann, Silvan"
"Ehmke, Michael"
"Ehombo, Jordi"
"Eisenring, Michael"
"Eisenring, Rainer"
"Ejupi, Arlind"
"Ejupi, Landrit"
"Eleouet, Allan"
"Elia, Alessandro"
"Elia, Moreno"
"Elmer, Jonas"
"Elton Monteiro"
"Elvedi, Jan"
"Elvedi, Nico"
"Embolo, Breel"
"Emeghara, Innocent"
"Emmers, Xian"
"Endogan, Adili"
"Engelhardt, Regis"
"Enrico, Robin"
"Enzler, Simon"
"Epitaux, Herve"
"Erard, Mael"
"Erzinger, Michael"
"Espanhol, Carlo"
"Etemi, Safet"
"Eugster, Mirel"
"Eugster, Shpetim"
"Eyamba, Junior"
"Facchin, Ivan"
"Facchinetti, Mickael"
"Facchinetti, Mirko"
"Fae, Dario"
"Fah, Manuel"
"Fahiya, Ruben"
"Faivre, Guillaume"
"Falke, Rainer"
"Fanger, Daniel"
"Fanigliulo, Andrea"
"Farine, Leo"
"Fassler, Marco"
"Fassnacht, Christian"
"Fatic, Aldin"
"Fayulu, Timothy"
"Fazlic, Elmedin"
"Fazliu, Valon"
"Fedele, Matteo"
"Feigenwinter, Cedric"
"Fejzulai, Arber"
"Fekete, Thomas"
"Felhi, Ahmed"
"Felitti, Antonio"
"Fellmann, Fabian"
"Fellmann, Raimondo"
"Feltscher, Rolf"
"Ferati, Beg"
"Fermino, Enes"
"Fernandes, Edimilson"
"Fernandes, Gelson"
"Ferrari, Paolo"
"Ferreira, Andre"
"Ferreira, Fabio"
"Ferreira, Nelson"
"Feuz, Leon"
"Fickentscher, Kevin"
"Figueiredo, Cedric"
"Figueiredo, Marc"
"Fleury, Adrien"
"Fleury, Philipp"
"Fofana, Guy"
"Follonier, Daniel"
"Forestal, Jolan"
"Forestal, Mael"
"Forzano, David"
"Foschini, Sandro"
"Foucher, Nathan"
"Franek, Cedric"
"Franin, Marco"
"Franjic, Anto"
"Franzese, Gioele"
"Frei, Elias"
"Frei, Fabian"
"Frei, Filip"
"Frei, Kerim"
"Frei, Luka"
"Frei, Stefan"
"Freiburghaus, Severin"
"Freuler, Alberto"
"Freuler, Remo"
"Frey, David"
"Frey, Michael"
"Frick, Jeremy"
"Frick, Noah"
"Frick, Yanik"
"Frigerio, Gianni"
"Frigerio, Matteo"
"Fritsch, Olivier"
"Frontino, Gennaro"
"Frontino, Gianluca"
"Frontzeck, Michael"
"Frrokaj, Norbert"
"Frund, Gaetan"
"Frutiger, Maximilian"
"Fuhrer, Joel"
"Funaro, Patrick"
"Fungilo, Zaku"
"Furrer, Guillaume"
"Gabriele, Marco"
"Gadient, Michel"
"Gafner, Braima"
"Gahwiler, Tobias"
"Gallande, Michel"
"Galli, Cyril"
"Galli, Sandro"
"Gamperle, Boban"
"Gandolfo, Simone"
"Ganvoula, Rochel"
"Garcia, Luis Angel"
"Garcia, Pedro"
"Garcia, Stephane"
"Garcia, Ulisses"
"Gashi, Leotrim"
"Gashi, Shkelzen"
"Gasic, Stevo"
"Gasser, Cedric"
"Gasser, Cyrill"
"Gasser, Patric"
"Gaudiano, Leandro"
"Gaudin, Thomas"
"Gauthier, Alex"
"Gautreaux, Flavio"
"Gavranovic, Mario"
"Gavric, Aleksandar"
"Gavric, Nikolaj"
"Gavric, Vujo"
"Gazzetta, Karim"
"Gazzetta, Luca"
"Gebistorf, Louis"
"Geiger, Bastien"
"Geiger, Rainer"
"Geiger, Simon"
"Geijo, Alex"
"Geiser, Fabian"
"Geisser, Daniel"
"Geissmann, Joel"
"Geissmann, Silvan"
"Gelmi, Rick"
"Gelmi, Roy"
"Gennari, Bruno"
"Genner, Andrea"
"Gepp, Roger"
"Gerber, Fabian"
"Gerhardt, Patrick"
"Germanier, Damien"
"Germann, Garry"
"Gerzic, Suad"
"Getaz, Nicolas"
"Giacobbo, Alberto"
"Giacobbo, Alexandre"
"Giacomelli, Gaetano"
"Giallongo, Giovanni"
"Giger, Michael"
"Giger, Raoul"
"Gigic, Ermin"
"Gil, Cesar"
"Girod, Victor"
"Gissi, Dylan"
"Gissi, Kevin"
"Gjorgjev, Nikola"
"Gjoshi, Heroid"
"Glarner, Stefan"
"Glauser, Luca"
"Glavas, Darko"
"Gloor, Robin"
"Golaj, Edison"
"Golaj, Kastriot"
"Goljica, Alija"
"Golliard, Robin"
"Gomes, Fabio"
"Gomes, Mike"
"Gomis, Samuel"
"Goncalves, Andre"
"Goncalves, Jose"
"Gonitzer, Silvan"
"Gonzalez, Kastriot"
