"Name"
"Cande, Alberto"
"Cande, Batis"
"Cande, Braima"
"Cande, Fali"
"Cande, Malam"
"Cande, Mamadu"
"Candeias, Bruno"
"Candeias, Daniel"
"Candeias, Helder"
"Candeias, Humberto"
"Candeias, Iuri"
"Candeias, Joao"
"Caneca, Armindo"
"Canedo, Nelson"
"Canedo, Ruben"
"Caneira, Marco"
"Canina"
"Capao, Dany"
"Capela"
"Capela, Anibal"
"Capela, Dani"
"Capela, Fabio"
"Capela, Rui"
"Capelas, Fabio"
"Capitao, Carlos"
"Capitao, Diogo"
"Capitao, Pedro"
"Cara"
"Caraballo, Carlos"
"Caramalho, Miguel"
"Caramelo, Rui"
"Carapinha, Fabio"
"Carapinha, Miguel"
"Carapito, Andre"
"Cardoso, Bruno"
"Cardoso, Bruno"
"Cardoso, Carlos"
"Cardoso, Carlos"
"Cardoso, Cedric"
"Cardoso, Christophe"
"Cardoso, Diogo"
"Cardoso, Diogo"
"Cardoso, Diogo"
"Cardoso, Dylan"
"Cardoso, Fabio"
"Cardoso, Filipe"
"Cardoso, Goncalo"
"Cardoso, Goncalo"
"Cardoso, Goncalo"
"Cardoso, Goncalo"
"Cardoso, Helder"
"Cardoso, Hugo"
"Cardoso, Hugo"
"Cardoso, Joao"
"Cardoso, Joao"
"Cardoso, Jorge"
"Cardoso, Jorge"
"Cardoso, Leandro"
"Cardoso, Mauro"
"Cardoso, Miguel"
"Cardoso, Nuno"
"Cardoso, Paulo"
"Cardoso, Pedro"
"Cardoso, Pedro"
"Cardoso, Rafael"
"Cardoso, Renato"
"Cardoso, Ricardo"
"Cardoso, Ricardo"
"Cardoso, Romeu"
"Cardoso, Rui"
"Cardoso, Rui"
"Cardoso, Rui"
"Cardoso, Tomas"
"Cardoso, Victor"
"Cardoso, Victor"
"Cardoso, Vitor"
"Caria, Jorge"
"Carlao"
"Carlinhos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos"
"Carlitos Pereira"
"Carlos"
"Carlos Manuel"
"Carlos Stela"
"Carlos Xavier"
"Carlos, Bernardo"
"Carlos, Diogo"
