"Name"
"A. Jason"
"A. Namathevan"
"A. Pavithran"
"A. Peter Das"
"A. Puvanarajah"
"A. Rameig"
"A. Salamon Raj"
"A. Segar"
"A. Shivan Pillay"
"A. Siva Kumar"
"A. Thamil Arasu"
"A. Venothnaidoo"
"Aaravin, R."
"Awang, Mohd Aizat"
"Awang, Mohd Hasbullah"
"Awang, Mohd Lutfi"
"Awang, Mohd Zul Fahmi"
"Awangku Hamzah, Awangku Mohd Hamirullizam"
"Ayob, Fazli"
"Ayob, Muhd Badrol Amin"
"Ayub, Mohd Luqman Hakimi"
"Ayub, Mohd Nizad"
"Ayub, Shaiful"
"Ayub, Shaiful"
"Azahar, Ahmad Fitri"
"Azahar, Irwan Jaszman"
"Azahar, Mohd Amer"
"Azahar, Muhd Faqih Afham"
"Azahari, Adib Nur Hakim"
"Azahari, Muhd Fakhrul Ikram"
"A'zalli, Syahril Adzhar"
"Azam, Muhd Fazwan"
"Azeman, Mahathir"
"Azeman, Muhd Zafuan"
"Azhar, Abdul Halim Aiman"
"Azhar, Idden Shazwan"
"Azhar, Mohd Akhmar Haiqal"
"Azhar, Mohd Fitri"
"Azhar, Muhd Azarul Nazarith"
"Azhar, Muhd Azwan"
"Azhar, Muhd Danial"
"Azhar, Muhd Farizzuan"
"Azhari, Muhd Amir Asyraf"
"Azian, Mohd Zikri Azwira"
"Aziz Dolgani"
"Aziz, Aidil Haiqal"
"Aziz, Faizal"
"Aziz, Ibrahim"
"Aziz, Mohd Adlie"
"Aziz, Mohd Faizal"
"Aziz, Mohd Hasmie"
"Aziz, Mohd Hazwan"
"Aziz, Mohd Izzat"
"Aziz, Mohd Zulhafizi"
"Aziz, Muhd Amer Syafeeq"
"Aziz, Muhd Amin"
"Aziz, Sabtu"
"Aziz, Sharudy"
"Azizan Marieppen, Mohd Raphi"
"Azizan, Abdul Fakar"
"Azizan, Mohd Hanafi"
"Azizan, Mohd Shamsul Izuwan"
"Azizan, Muhd Idham"
"Azizul, Mohd Firdaus"
"Azizul, Muhd Nabil"
"Azizul, Noh"
"Azlan, Ahmad Fathi Ifran"
"Azlan, Aikal Aidil"
"Azlen, Muhd Faizal"
"Azlin, Adam Nor"
"Azly Hussham, Muhd Ridzuan"
"Azman, Ahmad Azlyshah"
"Azman, Akmal"
"Azman, Aliff Aizad"
"Azman, Azrian"
"Azman, Haziq"
"Azman, Mohd Afif"
"Azman, Mohd Amarudin"
"Azman, Mohd Azrul"
"Azman, Mohd Iskandar"
